2021-02-16 13:35:36.712583
{'physician-fee-freeze=n'} --> {'Class Name=democrat'} | Confidence: 0.9919028340080972 | Consequent Support: 0.6137931034482759 | Support: 0.5632183908045977 | Lift: 1.6160214711367875
{'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9176029962546816 | Consequent Support: 0.5678160919540229 | Support: 0.5632183908045977 | Lift: 1.6160214711367875
{'adoption-of-the-budget-resolution=y'} --> {'Class Name=democrat'} | Confidence: 0.9130434782608695 | Consequent Support: 0.6137931034482759 | Support: 0.5310344827586206 | Lift: 1.4875427454811918
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} --> {'Class Name=democrat'} | Confidence: 1.0 | Consequent Support: 0.6137931034482759 | Support: 0.503448275862069 | Lift: 1.6292134831460674
{'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9480519480519481 | Consequent Support: 0.5678160919540229 | Support: 0.503448275862069 | Lift: 1.6696461433303542
{'aid-to-nicaraguan-contras=y'} --> {'Class Name=democrat'} | Confidence: 0.9008264462809917 | Consequent Support: 0.6137931034482759 | Support: 0.5011494252873563 | Lift: 1.4676385922555484
{'education-spending=n'} --> {'Class Name=democrat'} | Confidence: 0.9141630901287553 | Consequent Support: 0.6137931034482759 | Support: 0.4896551724137931 | Lift: 1.4893668322322418
{'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} --> {'Class Name=democrat'} | Confidence: 0.9952606635071091 | Consequent Support: 0.6137931034482759 | Support: 0.4827586206896552 | Lift: 1.6214920922306832
{'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9633027522935781 | Consequent Support: 0.5678160919540229 | Support: 0.4827586206896552 | Lift: 1.6965048471567066
{'el-salvador-aid=n'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9807692307692307 | Consequent Support: 0.5563218390804597 | Support: 0.4689655172413793 | Lift: 1.7629529561347743
{'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} --> {'Class Name=democrat'} | Confidence: 0.944186046511628 | Consequent Support: 0.6137931034482759 | Support: 0.4666666666666667 | Lift: 1.5382806375751241
{'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9311926605504588 | Consequent Support: 0.5816091954022988 | Support: 0.4666666666666667 | Lift: 1.6010624796025676
{'physician-fee-freeze=n', 'education-spending=n'} --> {'Class Name=democrat'} | Confidence: 0.9950495049504949 | Consequent Support: 0.6137931034482759 | Support: 0.46206896551724136 | Lift: 1.621148069863166
{'education-spending=n', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9436619718309859 | Consequent Support: 0.5678160919540229 | Support: 0.46206896551724136 | Lift: 1.661914808690198
{'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 0.9615384615384616 | Consequent Support: 0.6137931034482759 | Support: 0.45977011494252873 | Lift: 1.566551426101988
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} --> {'Class Name=democrat'} | Confidence: 1.0 | Consequent Support: 0.6137931034482759 | Support: 0.45517241379310347 | Lift: 1.6292134831460674
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.904109589041096 | Consequent Support: 0.5563218390804597 | Support: 0.45517241379310347 | Lift: 1.625155666251557
{'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9428571428571428 | Consequent Support: 0.5816091954022988 | Support: 0.45517241379310347 | Lift: 1.6211180124223603
{'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9753694581280788 | Consequent Support: 0.5678160919540229 | Support: 0.45517241379310347 | Lift: 1.7177559282822443
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} --> {'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.904109589041096 | Consequent Support: 0.5011494252873563 | Support: 0.45517241379310347 | Lift: 1.804071886389343
{'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} --> {'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Confidence: 0.9383886255924171 | Consequent Support: 0.5310344827586206 | Support: 0.45517241379310347 | Lift: 1.7670954637779284
{'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} --> {'physician-fee-freeze=n', 'Class Name=democrat'} | Confidence: 0.9209302325581395 | Consequent Support: 0.5632183908045977 | Support: 0.45517241379310347 | Lift: 1.6351210251542478
{'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} | Confidence: 0.9082568807339451 | Consequent Support: 0.503448275862069 | Support: 0.45517241379310347 | Lift: 1.8040718863893428
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.904109589041096 | Consequent Support: 0.5563218390804597 | Support: 0.45517241379310347 | Lift: 1.625155666251557
{'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9383886255924171 | Consequent Support: 0.5816091954022988 | Support: 0.45517241379310347 | Lift: 1.6134349886668042
{'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} --> {'physician-fee-freeze=n'} | Confidence: 0.9209302325581395 | Consequent Support: 0.5678160919540229 | Support: 0.45517241379310347 | Lift: 1.6218811787967236
{'el-salvador-aid=y'} --> {'religious-groups-in-schools=y'} | Confidence: 0.9292452830188679 | Consequent Support: 0.6252873563218391 | Support: 0.4528735632183908 | Lift: 1.4861091842397336
{'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 0.9656862745098039 | Consequent Support: 0.6137931034482759 | Support: 0.4528735632183908 | Lift: 1.573309098920467
{'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'el-salvador-aid=n'} | Confidence: 0.9036697247706422 | Consequent Support: 0.4781609195402299 | Support: 0.4528735632183908 | Lift: 1.889886203246295
{'el-salvador-aid=n', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.985 | Consequent Support: 0.5563218390804597 | Support: 0.4528735632183908 | Lift: 1.7705578512396696
{'el-salvador-aid=n'} --> {'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.9471153846153846 | Consequent Support: 0.5011494252873563 | Support: 0.4528735632183908 | Lift: 1.889886203246295
{'el-salvador-aid=n'} --> {'physician-fee-freeze=n'} | Confidence: 0.9375 | Consequent Support: 0.5678160919540229 | Support: 0.4482758620689655 | Lift: 1.6510627530364375
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y'} --> {'Class Name=democrat'} | Confidence: 0.9898477157360407 | Consequent Support: 0.6137931034482759 | Support: 0.4482758620689655 | Lift: 1.6126732447384933
{'anti-satellite-test-ban=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.975 | Consequent Support: 0.5678160919540229 | Support: 0.4482758620689655 | Lift: 1.717105263157895
{'physician-fee-freeze=n', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 0.9948717948717949 | Consequent Support: 0.6137931034482759 | Support: 0.4459770114942529 | Lift: 1.6208585422068569
{'el-salvador-aid=n', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9700000000000001 | Consequent Support: 0.5678160919540229 | Support: 0.4459770114942529 | Lift: 1.7082995951417006
{'el-salvador-aid=n'} --> {'physician-fee-freeze=n', 'Class Name=democrat'} | Confidence: 0.9326923076923077 | Consequent Support: 0.5632183908045977 | Support: 0.4459770114942529 | Lift: 1.6560047095761383
{'el-salvador-aid=y'} --> {'crime=y'} | Confidence: 0.9150943396226415 | Consequent Support: 0.5701149425287356 | Support: 0.4459770114942529 | Lift: 1.6051049908703592
{'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} --> {'el-salvador-aid=n'} | Confidence: 0.909952606635071 | Consequent Support: 0.4781609195402299 | Support: 0.4413793103448276 | Lift: 1.9030258840685381
{'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'physician-fee-freeze=n'} | Confidence: 0.9411764705882353 | Consequent Support: 0.5678160919540229 | Support: 0.4413793103448276 | Lift: 1.6575375089306978
