2021-02-16 13:35:36.710589
{'religious-groups-in-schools=y'} | Support Value=0.6252873563218391
{'export-administration-act-south-africa=y'} | Support Value=0.6183908045977011
{'Class Name=democrat'} | Support Value=0.6137931034482759
{'synfuels-corporation-cutback=n'} | Support Value=0.6068965517241379
{'adoption-of-the-budget-resolution=y'} | Support Value=0.5816091954022988
{'crime=y'} | Support Value=0.5701149425287356
{'physician-fee-freeze=n'} | Support Value=0.5678160919540229
{'physician-fee-freeze=n', 'Class Name=democrat'} | Support Value=0.5632183908045977
{'aid-to-nicaraguan-contras=y'} | Support Value=0.5563218390804597
{'anti-satellite-test-ban=y'} | Support Value=0.5494252873563218
{'handicapped-infants=n'} | Support Value=0.542528735632184
{'duty-free-exports=n'} | Support Value=0.535632183908046
{'education-spending=n'} | Support Value=0.535632183908046
{'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.5310344827586206
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.503448275862069
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.503448275862069
{'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.5011494252873563
{'immigration=y'} | Support Value=0.496551724137931
{'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.4942528735632184
{'religious-groups-in-schools=y', 'crime=y'} | Support Value=0.49195402298850577
{'education-spending=n', 'Class Name=democrat'} | Support Value=0.4896551724137931
{'immigration=n'} | Support Value=0.48735632183908045
{'el-salvador-aid=y'} | Support Value=0.48735632183908045
{'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.4850574712643678
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.4827586206896552
{'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.4827586206896552
{'superfund-right-to-sue=y'} | Support Value=0.4804597701149425
{'el-salvador-aid=n'} | Support Value=0.4781609195402299
{'mx-missile=y'} | Support Value=0.47586206896551725
{'mx-missile=n'} | Support Value=0.4735632183908046
{'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} | Support Value=0.4689655172413793
{'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.4666666666666667
{'physician-fee-freeze=n', 'education-spending=n'} | Support Value=0.46436781609195404
{'education-spending=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.46206896551724136
{'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y'} | Support Value=0.46206896551724136
{'superfund-right-to-sue=n'} | Support Value=0.46206896551724136
{'physician-fee-freeze=n', 'education-spending=n', 'Class Name=democrat'} | Support Value=0.46206896551724136
{'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.45977011494252873
{'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.45977011494252873
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.45517241379310347
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.45517241379310347
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y'} | Support Value=0.4528735632183908
{'religious-groups-in-schools=y', 'el-salvador-aid=y'} | Support Value=0.4528735632183908
{'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.4528735632183908
{'physician-fee-freeze=n', 'el-salvador-aid=n'} | Support Value=0.4482758620689655
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.4482758620689655
{'water-project-cost-sharing=y'} | Support Value=0.4482758620689655
{'education-spending=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.4459770114942529
{'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.4459770114942529
{'el-salvador-aid=y', 'crime=y'} | Support Value=0.4459770114942529
{'religious-groups-in-schools=y', 'duty-free-exports=n'} | Support Value=0.4436781609195402
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n'} | Support Value=0.4413793103448276
{'aid-to-nicaraguan-contras=y', 'mx-missile=y'} | Support Value=0.4413793103448276
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.4413793103448276
{'water-project-cost-sharing=n'} | Support Value=0.4413793103448276
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.43908045977011495
{'religious-groups-in-schools=y', 'handicapped-infants=n'} | Support Value=0.4367816091954023
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.43448275862068964
{'religious-groups-in-schools=y', 'mx-missile=n'} | Support Value=0.432183908045977
{'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.432183908045977
{'duty-free-exports=n', 'crime=y'} | Support Value=0.432183908045977
{'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.432183908045977
{'mx-missile=y', 'Class Name=democrat'} | Support Value=0.432183908045977
{'handicapped-infants=y'} | Support Value=0.4298850574712644
{'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.4298850574712644
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.42758620689655175
{'physician-fee-freeze=n', 'education-spending=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.42758620689655175
{'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.42758620689655175
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y'} | Support Value=0.42758620689655175
{'physician-fee-freeze=n', 'education-spending=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.42758620689655175
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.42528735632183906
{'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.42298850574712643
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.42298850574712643
{'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.42298850574712643
{'aid-to-nicaraguan-contras=y', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.42298850574712643
{'education-spending=n', 'anti-satellite-test-ban=y'} | Support Value=0.42298850574712643
{'el-salvador-aid=y', 'mx-missile=n'} | Support Value=0.42298850574712643
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.41839080459770117
{'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.41839080459770117
{'anti-satellite-test-ban=n'} | Support Value=0.41839080459770117
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y'} | Support Value=0.41839080459770117
{'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.41839080459770117
{'anti-satellite-test-ban=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.41839080459770117
{'physician-fee-freeze=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.4160919540229885
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.4160919540229885
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.4160919540229885
{'religious-groups-in-schools=y', 'crime=y', 'el-salvador-aid=y'} | Support Value=0.41379310344827586
{'adoption-of-the-budget-resolution=y', 'mx-missile=y'} | Support Value=0.41379310344827586
{'physician-fee-freeze=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.41379310344827586
{'physician-fee-freeze=n', 'mx-missile=y'} | Support Value=0.41379310344827586
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.4114942528735632
{'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.4114942528735632
{'physician-fee-freeze=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.4114942528735632
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.4114942528735632
{'aid-to-nicaraguan-contras=y', 'anti-satellite-test-ban=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.4114942528735632
{'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.4114942528735632
{'aid-to-nicaraguan-contras=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.4114942528735632
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.4114942528735632
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.4091954022988506
{'physician-fee-freeze=n', 'superfund-right-to-sue=n'} | Support Value=0.4091954022988506
{'aid-to-nicaraguan-contras=n'} | Support Value=0.4091954022988506
